preview	exp_id	template	contributors	time	cognitive_atlas_task_id
"<a href=""discount_titrate.html"" target=""_blank"">DEMO</a>"	discount_titrate	jspsych	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_566748c929afc
"<a href=""psychological_refractory_period_gonogo_choice.html"" target=""_blank"">DEMO</a>"	psychological_refractory_period_gonogo_choice	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	12	trm_51c453f64d2a6
"<a href=""kirby.html"" target=""_blank"">DEMO</a>"	kirby	jspsych	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	tsk_4a57abb949e98
"<a href=""simon.html"" target=""_blank"">DEMO</a>"	simon	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	8	tsk_4a57abb949dbb
"<a href=""local_global_letter.html"" target=""_blank"">DEMO</a>"	local_global_letter	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	8	trm_4f241d7adf14e
"<a href=""dimensional_set_shifting.html"" target=""_blank"">DEMO</a>"	dimensional_set_shifting	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	10	trm_5667476fc14dd
"<a href=""probabilistic_selection.html"" target=""_blank"">DEMO</a>"	probabilistic_selection	jspsych	Jamie Li,Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	14	trm_5667483dcc371
"<a href=""recent_probes.html"" target=""_blank"">DEMO</a>"	recent_probes	jspsych	Jamie Li,Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	22	trm_56674987c8f0c
"<a href=""image_monitoring.html"" target=""_blank"">DEMO</a>"	image_monitoring	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	6	trm_5667436296862
"<a href=""psychological_refractory_period_two_choices.html"" target=""_blank"">DEMO</a>"	psychological_refractory_period_two_choices	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	12	trm_51c453f64d2a6
"<a href=""shift_task.html"" target=""_blank"">DEMO</a>"	shift_task	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	22	trm_5696c3fa0061a
"<a href=""threebytwo.html"" target=""_blank"">DEMO</a>"	threebytwo	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	24	trm_566745bbf272a
"<a href=""go_nogo.html"" target=""_blank"">DEMO</a>"	go_nogo	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	7	tsk_4a57abb949a93
"<a href=""simple_reaction_time.html"" target=""_blank"">DEMO</a>"	simple_reaction_time	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	3	tsk_4a57abb949dc8
"<a href=""columbia_card_task_hot.html"" target=""_blank"">DEMO</a>"	columbia_card_task_hot	jspsych	Jamie Li,Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	25	trm_5667492c555b7
"<a href=""columbia_card_task_cold.html"" target=""_blank"">DEMO</a>"	columbia_card_task_cold	jspsych	Jamie Li,Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	15	trm_5667492c555b7
"<a href=""two_stage_decision.html"" target=""_blank"">DEMO</a>"	two_stage_decision	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	26	trm_5667451917a34
"<a href=""perceptual_metacognition.html"" target=""_blank"">DEMO</a>"	perceptual_metacognition	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	20	trm_553ebfc390256
"<a href=""n_back.html"" target=""_blank"">DEMO</a>"	n_back	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	16	tsk_4a57abb949bcd
"<a href=""tower_of_london_imagine.html"" target=""_blank"">DEMO</a>"	tower_of_london_imagine	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	8	trm_5696bcf1b5c64
"<a href=""self_regulation_survey.html"" target=""_blank"">DEMO</a>"	self_regulation_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a91ed5f1ccc
"<a href=""eating_survey.html"" target=""_blank"">DEMO</a>"	eating_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56aac5f6e4702
"<a href=""sensation_seeking_survey.html"" target=""_blank"">DEMO</a>"	sensation_seeking_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56abebfe9aaa3
"<a href=""mindful_attention_awareness_survey.html"" target=""_blank"">DEMO</a>"	mindful_attention_awareness_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56abcba3df89b
"<a href=""brief_self_control_survey.html"" target=""_blank"">DEMO</a>"	brief_self_control_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a915461cd91
"<a href=""future_time_perspective_survey.html"" target=""_blank"">DEMO</a>"	future_time_perspective_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a915fe77945
"<a href=""leisure_time_activity_survey.html"" target=""_blank"">DEMO</a>"	leisure_time_activity_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56aaa613f0c1a
"<a href=""grit_scale_survey.html"" target=""_blank"">DEMO</a>"	grit_scale_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a9166421494
"<a href=""upps_impulsivity_survey.html"" target=""_blank"">DEMO</a>"	upps_impulsivity_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a91a92043bc
"<a href=""theories_of_willpower_survey.html"" target=""_blank"">DEMO</a>"	theories_of_willpower_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a91a3082c31
"<a href=""dospert_rt_survey.html"" target=""_blank"">DEMO</a>"	dospert_rt_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_5696abecf2569
"<a href=""dickman_survey.html"" target=""_blank"">DEMO</a>"	dickman_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_55a6a95f66508
"<a href=""dospert_rp_survey.html"" target=""_blank"">DEMO</a>"	dospert_rp_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_5696abecf2569
"<a href=""cognitive_reflection_survey.html"" target=""_blank"">DEMO</a>"	cognitive_reflection_survey	survey	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_56675359b663a
"<a href=""dospert_eb_survey.html"" target=""_blank"">DEMO</a>"	dospert_eb_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_5696abecf2569
"<a href=""treatment_self_regulation_survey.html"" target=""_blank"">DEMO</a>"	treatment_self_regulation_survey	survey	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_56aa9833c4be2
"<a href=""impulsive_venture_survey.html"" target=""_blank"">DEMO</a>"	impulsive_venture_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a91e3e982f9
"<a href=""mpq_control_survey.html"" target=""_blank"">DEMO</a>"	mpq_control_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_55a6aa62c54f8
"<a href=""time_perspective_survey.html"" target=""_blank"">DEMO</a>"	time_perspective_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a91e92eab46
"<a href=""ten_item_personality_survey.html"" target=""_blank"">DEMO</a>"	ten_item_personality_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a919a478935
"<a href=""bis_bas_survey.html"" target=""_blank"">DEMO</a>"	bis_bas_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56a9137d9dce1
"<a href=""five_facet_mindfulness_survey.html"" target=""_blank"">DEMO</a>"	five_facet_mindfulness_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56ab12e0f1a61
"<a href=""erq_survey.html"" target=""_blank"">DEMO</a>"	erq_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_4da890594742a
"<a href=""bis11_survey.html"" target=""_blank"">DEMO</a>"	bis11_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_55a6a8e81b7f4
"<a href=""demographics_survey.html"" target=""_blank"">DEMO</a>"	demographics_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	
"<a href=""holt_laury_survey.html"" target=""_blank"">DEMO</a>"	holt_laury_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56674f71483b0
"<a href=""selection_optimization_compensation_survey.html"" target=""_blank"">DEMO</a>"	selection_optimization_compensation_survey	survey	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_56ac06bac9334
"<a href=""number_line.html"" target=""_blank"">DEMO</a>"	number_line	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
"<a href=""whats_missing_lightning.html"" target=""_blank"">DEMO</a>"	whats_missing_lightning	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
"<a href=""bridge_game.html"" target=""_blank"">DEMO</a>"	bridge_game	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
"<a href=""bucket_game.html"" target=""_blank"">DEMO</a>"	bucket_game	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
"<a href=""is_it_equal_lightning.html"" target=""_blank"">DEMO</a>"	is_it_equal_lightning	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
"<a href=""is_it_equal_zen.html"" target=""_blank"">DEMO</a>"	is_it_equal_zen	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
"<a href=""whats_missing_zen.html"" target=""_blank"">DEMO</a>"	whats_missing_zen	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
"<a href=""add_it_up_zen.html"" target=""_blank"">DEMO</a>"	add_it_up_zen	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
"<a href=""add_it_up_lightning.html"" target=""_blank"">DEMO</a>"	add_it_up_lightning	phaser	Jonathan Nicholas,Christian Battista,Vanessa Sochat	999	
