doi	run	name	contributors	time	notes	reference	lab	cognitive_atlas_concept_id	cognitive_atlas_concept	tag	cognitive_atlas_task_id	preview
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	20	Condition indicates cue/target trial type: AX, BX, AY, BY	http://www.pnas.org/content/suppl/2009/04/20/0808187106.DCSupplemental/0808187106SI.pdf#nameddest=STXT	Poldracklab	trm_4aae62e4ad209	cognitive control	ax_cpt		"<a href=""exp_hub?exp=ax_cpt"" target=""_blank"">DEMO</a>"
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	Conditions refers to congruency on each trial	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0057410	Poldracklab	trm_4aae62e4ad209	cognitive control	stroop		"<a href=""exp_hub?exp=stroop"" target=""_blank"">DEMO</a>"
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	18		http://www.nature.com/neuro/journal/v10/n9/pdf/nn1954.pdf	Poldracklab	trm_4aae62e4ad209	cognitive control	volatile_bandit		"<a href=""exp_hub?exp=volatile_bandit"" target=""_blank"">DEMO</a>"
	experiment.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	Condition indicates block task (add, subtract, alternate)	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	plus_minus		"<a href=""exp_hub?exp=plus_minus"" target=""_blank"">DEMO</a>"
	experiment.js,style.css	Cognitive Control Predicts Use of Model-based Reinforcement learning	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	15	Condition indicates cue/target trial type: AX, BX, AY, BY	http://www.cns.nyu.edu/~rotto/jocn_in_press.pdf	Poldracklab	trm_4aae62e4ad209	cognitive control	dpx		"<a href=""exp_hub?exp=dpx"" target=""_blank"">DEMO</a>"
	experiment.js,style.css	The Multi-Source Interference Task: validation study with fMRI in individual subjects	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	7	Condition records current block (practice/test control/interference), trial_id records stimulus ID (where the target is: left, middle or right) and whether the target is large or small		Poldracklab	trm_4aae62e4ad209	cognitive control	multisource		"<a href=""exp_hub?exp=multisource"" target=""_blank"">DEMO</a>"
	experiment.js,style.css,static/js/jspsych/plugins/jspsych-call-function.js	Decision Making and Learning While Taking Sequential Risks	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	45		http://www.ncbi.nlm.nih.gov/pubmed/18194061	Poldracklab	trm_4aae62e4ad209	cognitive control	art		"<a href=""exp_hub?exp=art"" target=""_blank"">DEMO</a>"
	experiment.js,style.css,static/js/jspsych/plugins/jspsych-call-function.js	Impaired extra-dimensional shift performance in medicated and unmedicated Parkinson's disease: evidence for a specific attentional dysfunction	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	10	Condition indicates stage in the IDED task	http://www.sciencedirect.com/science/article/pii/0028393289901280	Poldracklab	trm_4aae62e4ad209	cognitive control	ided		"<a href=""exp_hub?exp=ided"" target=""_blank"">DEMO</a>"
10.1162/089892902317361886	experiment.js,style.css,jspsych-ANT-practice.js	Testing the efficiency and independence of attentional networks.	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	20			Poldracklab	trm_4aae62e4ad209	cognitive control	ant		"<a href=""exp_hub?exp=ant"" target=""_blank"">DEMO</a>"
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	4			Poldracklab	trm_4aae62e4ad209	cognitive control	choice_rt		"<a href=""exp_hub?exp=choice_rt"" target=""_blank"">DEMO</a>"
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5			Poldracklab	trm_4aae62e4ad209	cognitive control	simon		"<a href=""exp_hub?exp=simon"" target=""_blank"">DEMO</a>"
	experiment.js,style.css,static/js/jspsych/plugins/jspsych-call-function.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	6	condition indicates practice/test, trial_id indicates stimulus shown on each trial. Correct response is determined by repetitions since last response and is not calculated in experiment.js (calculate in post)	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	image_monitoring		"<a href=""exp_hub?exp=image_monitoring"" target=""_blank"">DEMO</a>"
	experiment.js,style.css,static/js/jspsych/custom_plugins/jspsych-multi-button.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	3		http://www.sciencedirect.com/science/article/pii/S1053811905001424	Poldracklab	trm_4aae62e4ad209	cognitive control	rng		"<a href=""exp_hub?exp=rng"" target=""_blank"">DEMO</a>"
	experiment.js,style.css	Go-Nogo Task	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	7			Poldracklab	trm_4aae62e4ad209	cognitive control	go_nogo		"<a href=""exp_hub?exp=go_nogo"" target=""_blank"">DEMO</a>"
10.1016/j.neuron.2011.02.027	experiment.js,style.css,static/js/jspsych/plugins/jspsych-call-function.js	Model-Based Influences on Humans' Choices and Striatal Prediction Errors	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	26	Condition = ordered stims in stage 1 and stage 2 (so [0, 1] or [1, 0] for stage 1 and [2, 3], [4, 5] etc. for stage 2 and FB for the FB condition (1 for reward, 0 for no reward)	http://www.sciencedirect.com/science/article/pii/S0896627311001255	Poldracklab	trm_4aae62e4ad209	cognitive control	two_stage_decision		"<a href=""exp_hub?exp=two_stage_decision"" target=""_blank"">DEMO</a>"
	experiment.js	Cognitive control and brain resources in major depression: An fMRI study using the n-back task	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	16	This task differs in that the subject only has to respond on target trials, rather than indicating whether the current trial is  a match or not	http://www.sciencedirect.com/science/article/pii/S1053811905001424	Poldracklab	trm_4aae62e4ad209	cognitive control	n_back		"<a href=""exp_hub?exp=n_back"" target=""_blank"">DEMO</a>"
